lexeme	ambiguous	mode	model	score
고무	1	weighted	w2v	40.7574
성지	0	weighted	w2v	40.7312
생계	0	weighted	w2v	40.7051
워크숍	0	weighted	w2v	40.6791
기후	0	weighted	w2v	40.717
승자	0	weighted	w2v	40.755
세계	1	weighted	w2v	40.7928
부도	0	weighted	w2v	40.7668
서	1	weighted	w2v	40.7407
호조	0	weighted	w2v	40.7786
의정	0	weighted	w2v	40.8163
카이스트	0	weighted	w2v	40.854
분단	0	weighted	w2v	40.828
남송	0	weighted	w2v	40.8657
웹	0	weighted	w2v	40.9033
왕국	0	weighted	w2v	40.9409
윤곽	0	weighted	w2v	40.9149
일시	0	weighted	w2v	40.9524
이혼	0	weighted	w2v	40.9264
감기	0	weighted	w2v	40.9004
연수	1	weighted	w2v	40.9379
심의	0	weighted	w2v	40.912
영남	0	weighted	w2v	40.8861
모면	0	weighted	w2v	40.8602
자질	0	weighted	w2v	40.8344
원주	0	weighted	w2v	40.8086
입찰	0	weighted	w2v	40.846
현대	0	weighted	w2v	40.8833
피겨	0	weighted	w2v	40.8575
통지	0	weighted	w2v	40.8318
비아이에스	0	weighted	w2v	40.806
디자인	0	weighted	w2v	40.7804
생태	0	weighted	w2v	40.7547
내색	0	weighted	w2v	40.7291
육수	0	weighted	w2v	40.7035
동석	0	weighted	w2v	40.678
자본	0	weighted	w2v	40.6524
스위스	0	weighted	w2v	40.6897
뼈	0	weighted	w2v	40.6642
수명	1	weighted	w2v	40.7013
패션	0	weighted	w2v	40.7384
경성	0	weighted	w2v	40.7129
전도	0	weighted	w2v	40.6875
막	0	weighted	w2v	40.6621
숙취	0	weighted	w2v	40.6367
파열	0	weighted	w2v	40.6114
영예	0	weighted	w2v	40.586
대피	0	weighted	w2v	40.5607
연장	1	weighted	w2v	40.5355
재가	1	weighted	w2v	40.5725
소신	0	weighted	w2v	40.6095
국부	0	weighted	w2v	40.6464
진실	1	weighted	w2v	40.6211
모자이크	0	weighted	w2v	40.658
외환	0	weighted	w2v	40.6328
순리	0	weighted	w2v	40.6076
공방	1	weighted	w2v	40.6444
초임	0	weighted	w2v	40.6811
추세	0	weighted	w2v	40.7178
담화	1	weighted	w2v	40.7545
안개	0	weighted	w2v	40.7911
죄질	0	weighted	w2v	40.7659
매연	0	weighted	w2v	40.7407
야외	0	weighted	w2v	40.7156
귀추	0	weighted	w2v	40.6905
항목	0	weighted	w2v	40.6654
치질	0	weighted	w2v	40.702
직장	1	weighted	w2v	40.6769
정년	0	weighted	w2v	40.6519
글	1	weighted	w2v	40.6884
인플레이션	0	weighted	w2v	40.6634
북송	0	weighted	w2v	40.6384
대구	0	weighted	w2v	40.6748
대권	0	weighted	w2v	40.6499
융합	1	weighted	w2v	40.6863
추적	0	weighted	w2v	40.6614
레드	0	weighted	w2v	40.6365
가해	0	weighted	w2v	40.6116
한중	0	weighted	w2v	40.5868
궤도	0	weighted	w2v	40.6231
혼사	0	weighted	w2v	40.6593
지부	0	weighted	w2v	40.6955
군수	1	weighted	w2v	40.6707
독재	0	weighted	w2v	40.7069
하락	0	weighted	w2v	40.6821
전담	0	weighted	w2v	40.7182
증인	1	weighted	w2v	40.6934
잠복	0	weighted	w2v	40.6687
장례	0	weighted	w2v	40.644
공허	0	weighted	w2v	40.6193
정세	1	weighted	w2v	40.5947
논쟁	0	weighted	w2v	40.57
주눅	0	weighted	w2v	40.5455
탁구	0	weighted	w2v	40.5209
레미콘	0	weighted	w2v	40.4964
색소	0	weighted	w2v	40.5324
마감	0	weighted	w2v	40.5079
갈등	0	weighted	w2v	40.5438
등	0	weighted	w2v	40.5193
테스트	0	weighted	w2v	40.5552
원년	0	weighted	w2v	40.5308
전송	0	weighted	w2v	40.5666
염치	0	weighted	w2v	40.5422
부족	1	weighted	w2v	40.5178
강공	0	weighted	w2v	40.4934
상류	0	weighted	w2v	40.469
통상	0	weighted	w2v	40.5048
쟁점	0	weighted	w2v	40.4805
관례	0	weighted	w2v	40.4562
명예	1	weighted	w2v	40.4919
폐차	0	weighted	w2v	40.5276
조류	0	weighted	w2v	40.5033
라섹	0	weighted	w2v	40.479
자사	0	weighted	w2v	40.5147
특구	0	weighted	w2v	40.4904
며느리	0	weighted	w2v	40.526
간	0	weighted	w2v	40.5018
브랜드	0	weighted	w2v	40.4776
적응	1	weighted	w2v	40.5131
어른	1	weighted	w2v	40.5486
제외	1	weighted	w2v	40.5244
안과	0	weighted	w2v	40.5003
차별	0	weighted	w2v	40.4762
주	1	weighted	w2v	40.5116
순회	0	weighted	w2v	40.4875
시국	0	weighted	w2v	40.4635
은총	0	weighted	w2v	40.4988
추천	0	weighted	w2v	40.4748
스포츠	0	weighted	w2v	40.4508
차명	0	weighted	w2v	40.4268
살인	0	weighted	w2v	40.4028
내륙	0	weighted	w2v	40.3789
랜드마크	0	weighted	w2v	40.355
손상	0	weighted	w2v	40.3903
은퇴	0	weighted	w2v	40.3664
산맥	0	weighted	w2v	40.3426
말미	0	weighted	w2v	40.3778
비중	1	weighted	w2v	40.354
기항	0	weighted	w2v	40.3302
활력	0	weighted	w2v	40.3654
조화	1	weighted	w2v	40.4005
수의	0	weighted	w2v	40.3767
현찰	0	weighted	w2v	40.3529
라인	0	weighted	w2v	40.3292
관리	1	weighted	w2v	40.3055
너바나	0	weighted	w2v	40.2819
비타민	0	weighted	w2v	40.3169
연승	0	weighted	w2v	40.2933
개념	1	weighted	w2v	40.2696
평등	0	weighted	w2v	40.246
동향	1	weighted	w2v	40.281
탈세	0	weighted	w2v	40.316
한미	0	weighted	w2v	40.3509
장려	0	weighted	w2v	40.3857
방황	1	weighted	w2v	40.4206
스와트	0	weighted	w2v	40.397
친미	0	weighted	w2v	40.3734
대결	1	weighted	w2v	40.3499
진보	0	weighted	w2v	40.3263
과표	0	weighted	w2v	40.3029
수퍼마켓	0	weighted	w2v	40.2794
지향	1	weighted	w2v	40.256
강행	1	weighted	w2v	40.2907
단층	0	weighted	w2v	40.3254
사색	0	weighted	w2v	40.302
안티	0	weighted	w2v	40.2786
농부	0	weighted	w2v	40.2552
과속	0	weighted	w2v	40.2319
연좌	0	weighted	w2v	40.2086
범죄	0	weighted	w2v	40.1853
데이트	0	weighted	w2v	40.162
말썽	0	weighted	w2v	40.1388
런던	0	weighted	w2v	40.1156
저변	0	weighted	w2v	40.0924
호의	0	weighted	w2v	40.0693
식당	1	weighted	w2v	40.0462
옌지	0	weighted	w2v	40.0231
방학	0	weighted	w2v	40.0
공격	1	weighted	w2v	39.977
태블릿	0	weighted	w2v	39.9539
적미	0	weighted	w2v	39.931
실랑이	0	weighted	w2v	39.908
실수	1	weighted	w2v	39.8851
여야	0	weighted	w2v	39.8621
극장	0	weighted	w2v	39.8393
입국	1	weighted	w2v	39.8738
보선	0	weighted	w2v	39.9083
친권	0	weighted	w2v	39.8854
고위	0	weighted	w2v	39.8625
카지노	0	weighted	w2v	39.8397
물색	0	weighted	w2v	39.8741
공황	0	weighted	w2v	39.8513
습관	0	weighted	w2v	39.8286
초역	0	weighted	w2v	39.8058
빙하	0	weighted	w2v	39.8402
동굴	1	weighted	w2v	39.8175
서점	1	weighted	w2v	39.8518
수탈	0	weighted	w2v	39.8291
회기	0	weighted	w2v	39.8064
부활	1	weighted	w2v	39.8406
독자	1	weighted	w2v	39.818
귀국	0	weighted	w2v	39.7953
바둑	0	weighted	w2v	39.7727
호투	0	weighted	w2v	39.7501
식량	0	weighted	w2v	39.7276
유행	1	weighted	w2v	39.7618
포기	1	weighted	w2v	39.7959
식사	0	weighted	w2v	39.7734
얼굴	1	weighted	w2v	39.8075
바이올린	0	weighted	w2v	39.8415
부상	1	weighted	w2v	39.8756
강의	0	weighted	w2v	39.9096
굴레	0	weighted	w2v	39.887
기반	1	weighted	w2v	39.8645
일고	0	weighted	w2v	39.842
단장	1	weighted	w2v	39.8759
기사	1	weighted	w2v	39.9098
석	0	weighted	w2v	39.8873
엠디	0	weighted	w2v	39.9212
추억	0	weighted	w2v	39.8987
주택	1	weighted	w2v	39.9325
여정	0	weighted	w2v	39.9101
우	0	weighted	w2v	39.8876
모근	0	weighted	w2v	39.8652
유학	1	weighted	w2v	39.8429
공매	0	weighted	w2v	39.8205
민심	0	weighted	w2v	39.7982
재수	0	weighted	w2v	39.8319
명태	0	weighted	w2v	39.8096
답사	0	weighted	w2v	39.8433
기량	0	weighted	w2v	39.821
바젤	0	weighted	w2v	39.8547
역부족	0	weighted	w2v	39.8883
속성	0	weighted	w2v	39.9218
취득	0	weighted	w2v	39.8996
주목	1	weighted	w2v	39.9331
개런티	0	weighted	w2v	39.9108
꼬리	0	weighted	w2v	39.8886
잔해	0	weighted	w2v	39.8664
화석	0	weighted	w2v	39.8442
매입	0	weighted	w2v	39.8776
발간	0	weighted	w2v	39.8555
독백	0	weighted	w2v	39.8333
칠레	0	weighted	w2v	39.8667
의성	0	weighted	w2v	39.8446
반성	1	weighted	w2v	39.878
소득	1	weighted	w2v	39.8559
고향	1	weighted	w2v	39.8338
차	1	weighted	w2v	39.8117
불의	0	weighted	w2v	39.7897
초연	0	weighted	w2v	39.7677
포진	0	weighted	w2v	39.801
해산	1	weighted	w2v	39.8343
분양	0	weighted	w2v	39.8123
시타	0	weighted	w2v	39.7903
여력	0	weighted	w2v	39.7683
대안	1	weighted	w2v	39.7464
피칭	0	weighted	w2v	39.7245
완급	0	weighted	w2v	39.7026
철강	0	weighted	w2v	39.6808
나무	0	weighted	w2v	39.659
여수	0	weighted	w2v	39.6921
매미	0	weighted	w2v	39.6703
동티모르	0	weighted	w2v	39.7035
출연	1	weighted	w2v	39.6817
기성	0	weighted	w2v	39.6599
구출	0	weighted	w2v	39.693
성주	0	weighted	w2v	39.6712
강남	1	weighted	w2v	39.7043
국고	0	weighted	w2v	39.6825
수출	0	weighted	w2v	39.6608
부엌	0	weighted	w2v	39.6938
알	0	weighted	w2v	39.6721
재단	1	weighted	w2v	39.7051
주범	1	weighted	w2v	39.738
팬	0	weighted	w2v	39.7709
선적	0	weighted	w2v	39.8037
완수	0	weighted	w2v	39.8365
과거	1	weighted	w2v	39.8148
불응	0	weighted	w2v	39.8476
구원	0	weighted	w2v	39.8259
반장	1	weighted	w2v	39.8586
뇌관	0	weighted	w2v	39.837
무한	0	weighted	w2v	39.8696
징역	1	weighted	w2v	39.9023
가야	0	weighted	w2v	39.8806
자부	0	weighted	w2v	39.859
인터넷	0	weighted	w2v	39.8374
피임	0	weighted	w2v	39.87
남용	0	weighted	w2v	39.8484
긴박	0	weighted	w2v	39.8268
명물	0	weighted	w2v	39.8053
정전	0	weighted	w2v	39.7838
소아	0	weighted	w2v	39.7623
군비	0	weighted	w2v	39.7948
남한	0	weighted	w2v	39.7733
교착	0	weighted	w2v	39.8058
동포	0	weighted	w2v	39.8383
요청	1	weighted	w2v	39.8707
원심	0	weighted	w2v	39.8492
연속	0	weighted	w2v	39.8278
회화	0	weighted	w2v	39.8063
추신	0	weighted	w2v	39.7849
지출	1	weighted	w2v	39.8173
공세	0	weighted	w2v	39.8496
애플리케이션	0	weighted	w2v	39.8282
입증	1	weighted	w2v	39.8605
매장	0	weighted	w2v	39.8391
입장	1	weighted	w2v	39.8178
니켈	0	weighted	w2v	39.7965
후기	1	weighted	w2v	39.8287
운세	0	weighted	w2v	39.8074
항저우	0	weighted	w2v	39.8396
군부	0	weighted	w2v	39.8183
벙커	0	weighted	w2v	39.797
낭패	0	weighted	w2v	39.8292
나이	1	weighted	w2v	39.8613
파양	0	weighted	w2v	39.84
장소	1	weighted	w2v	39.8721
무시	1	weighted	w2v	39.9041
세제	0	weighted	w2v	39.8829
취리히	0	weighted	w2v	39.8616
파문	0	weighted	w2v	39.8936
영해	0	weighted	w2v	39.9256
볼륨	1	weighted	w2v	39.9575
냉방	0	weighted	w2v	39.9363
창간	0	weighted	w2v	39.9151
오페라	0	weighted	w2v	39.8939
휴가	0	weighted	w2v	39.9258
명천	0	weighted	w2v	39.9576
구매	1	weighted	w2v	39.9894
욕	0	weighted	w2v	39.9682
절정	0	weighted	w2v	39.9471
신고	1	weighted	w2v	39.9788
전작	0	weighted	w2v	40.0106
인플레	0	weighted	w2v	40.0423
통용	0	weighted	w2v	40.0211
마카오	0	weighted	w2v	40.0
아이엠오	0	weighted	w2v	39.9789
수류탄	0	weighted	w2v	39.9578
곤란	0	weighted	w2v	39.9368
약자	0	weighted	w2v	39.9684
일촉즉발	0	weighted	w2v	40.0
기장	0	weighted	w2v	39.979
재미	1	weighted	w2v	39.9579
유령	1	weighted	w2v	39.9895
일독	0	weighted	w2v	39.9685
난폭	0	weighted	w2v	39.9475
세른	0	weighted	w2v	39.9265
아비뇽	0	weighted	w2v	39.9056
국가	1	weighted	w2v	39.9371
나눔	0	weighted	w2v	39.9686
탤런트	0	weighted	w2v	39.9476
취직	0	weighted	w2v	39.9267
닷새	0	weighted	w2v	39.9059
콩	0	weighted	w2v	39.9373
페테르부르크	0	weighted	w2v	39.9164
국산	0	weighted	w2v	39.9478
자체	1	weighted	w2v	39.9269
일관	0	weighted	w2v	39.9583
숙지	0	weighted	w2v	39.9374
인큐베이터	0	weighted	w2v	39.9687
시론	0	weighted	w2v	39.9479
파이낸싱	0	weighted	w2v	39.9792
강사	0	weighted	w2v	39.9584
크리스털	0	weighted	w2v	39.9376
거부	1	weighted	w2v	39.9168
우위	0	weighted	w2v	39.8961
호선	0	weighted	w2v	39.8754
아이언	0	weighted	w2v	39.9066
법통	0	weighted	w2v	39.8859
식수	0	weighted	w2v	39.8652
경남	0	weighted	w2v	39.8964
협회	0	weighted	w2v	39.8757
인화	0	weighted	w2v	39.8551
주부	0	weighted	w2v	39.8345
녹음	0	weighted	w2v	39.8656
내홍	0	weighted	w2v	39.845
간첩	0	weighted	w2v	39.876
기념	0	weighted	w2v	39.8554
열정	1	weighted	w2v	39.8349
쿠리에	0	weighted	w2v	39.8143
시	1	weighted	w2v	39.7938
파직	0	weighted	w2v	39.7733
재치	0	weighted	w2v	39.7528
원단	0	weighted	w2v	39.7324
자판	0	weighted	w2v	39.7119
포격	0	weighted	w2v	39.6915
착공	1	weighted	w2v	39.6711
콘테스트	0	weighted	w2v	39.6507
판사	1	weighted	w2v	39.6304
공천	0	weighted	w2v	39.6614
보도	1	weighted	w2v	39.6923
궁극	0	weighted	w2v	39.7232
흥인지문	0	weighted	w2v	39.7029
다음	1	weighted	w2v	39.6825
입력	0	weighted	w2v	39.7134
심리	1	weighted	w2v	39.7442
쇠퇴	0	weighted	w2v	39.7751
품	0	weighted	w2v	39.8058
변경	1	weighted	w2v	39.8366
사필귀정	0	weighted	w2v	39.8673
아이다	0	weighted	w2v	39.8469
투척	0	weighted	w2v	39.8266
소감	0	weighted	w2v	39.8573
추징	0	weighted	w2v	39.8879
승리	0	weighted	w2v	39.8676
지명	1	weighted	w2v	39.8982
독립	1	weighted	w2v	39.8779
연극	0	weighted	w2v	39.8577
보슈	0	weighted	w2v	39.8374
직원	1	weighted	w2v	39.868
농도	0	weighted	w2v	39.8477
매각	0	weighted	w2v	39.8782
의무	1	weighted	w2v	39.9087
당원	0	weighted	w2v	39.8885
섬	1	weighted	w2v	39.9189
탄천	0	weighted	w2v	39.8987
투고	0	weighted	w2v	39.9291
제일	0	weighted	w2v	39.909
사이트	0	weighted	w2v	39.9393
사재	0	weighted	w2v	39.9697
생후	0	weighted	w2v	40.0
압수	0	weighted	w2v	40.0303
가속	0	weighted	w2v	40.0101
원청	0	weighted	w2v	39.9899
요강	0	weighted	w2v	39.9698
특징	0	weighted	w2v	39.9496
왕모기	0	weighted	w2v	39.9295
발동	0	weighted	w2v	39.9094
첨단	0	weighted	w2v	39.8893
시조	1	weighted	w2v	39.9196
조작	1	weighted	w2v	39.9497
풍습	0	weighted	w2v	39.9297
지느러미	0	weighted	w2v	39.9096
참배	0	weighted	w2v	39.8896
촉구	0	weighted	w2v	39.8696
부처	1	weighted	w2v	39.8496
터치	0	weighted	w2v	39.8297
인근	0	weighted	w2v	39.8097
격상	0	weighted	w2v	39.7898
방위	0	weighted	w2v	39.7699
로봇	0	weighted	w2v	39.75
대미	0	weighted	w2v	39.7301
부진	0	weighted	w2v	39.7602
사위	0	weighted	w2v	39.7903
인용	1	weighted	w2v	39.8204
레스토랑	0	weighted	w2v	39.8005
세비야	0	weighted	w2v	39.8305
해파리	0	weighted	w2v	39.8107
책장	0	weighted	w2v	39.7908
시작	1	weighted	w2v	39.771
토론	0	weighted	w2v	39.801
낭독	0	weighted	w2v	39.7812
본연	1	weighted	w2v	39.8111
동문	0	weighted	w2v	39.841
등산	0	weighted	w2v	39.8213
도성	0	weighted	w2v	39.8015
아밀로펙틴	0	weighted	w2v	39.7817
워크아웃	0	weighted	w2v	39.8116
원충	0	weighted	w2v	39.7919
복직	0	weighted	w2v	39.7722
악기	0	weighted	w2v	39.7525
애국	0	weighted	w2v	39.7823
품새	0	weighted	w2v	39.8121
독대	0	weighted	w2v	39.7924
결실	0	weighted	w2v	39.8221
등정	0	weighted	w2v	39.8025
데뷔	0	weighted	w2v	39.7828
국가주석	0	weighted	w2v	39.7632
대항	0	weighted	w2v	39.7929
캐스팅	0	weighted	w2v	39.7733
석유	0	weighted	w2v	39.7537
인도네시아	0	weighted	w2v	39.7341
최소	1	weighted	w2v	39.7638
투명	0	weighted	w2v	39.7934
혼선	0	weighted	w2v	39.7738
파급	0	weighted	w2v	39.7543
시각	1	weighted	w2v	39.7348
단속	1	weighted	w2v	39.7644
산업	0	weighted	w2v	39.7448
기종	0	weighted	w2v	39.7254
천혜	0	weighted	w2v	39.7059
운신	0	weighted	w2v	39.6864
묘사	0	weighted	w2v	39.667
정통	1	weighted	w2v	39.6965
압사	0	weighted	w2v	39.726
예	1	weighted	w2v	39.7555
일화	0	weighted	w2v	39.7849
계열	0	weighted	w2v	39.7655
서부	0	weighted	w2v	39.7949
문화	1	weighted	w2v	39.8243
뇌물	0	weighted	w2v	39.8049
명량	0	weighted	w2v	39.7855
검찰	1	weighted	w2v	39.7661
공채	0	weighted	w2v	39.7954
절창	0	weighted	w2v	39.8247
순차	0	weighted	w2v	39.8054
마트	0	weighted	w2v	39.8346
마을	0	weighted	w2v	39.8153
설욕	0	weighted	w2v	39.7959
색인	0	weighted	w2v	39.7766
부당	1	weighted	w2v	39.8058
위주	0	weighted	w2v	39.835
사관	1	weighted	w2v	39.8642
제고	0	weighted	w2v	39.8934
코드	0	weighted	w2v	39.9225
과제	1	weighted	w2v	39.9031
질문	0	weighted	w2v	39.8838
봉사	0	weighted	w2v	39.9129
아마추어	0	weighted	w2v	39.8936
가톨릭	0	weighted	w2v	39.8743
신랑	1	weighted	w2v	39.9034
일색	0	weighted	w2v	39.8841
하노버	0	weighted	w2v	39.9131
휴대	0	weighted	w2v	39.8939
전쟁	1	weighted	w2v	39.8746
인간	1	weighted	w2v	39.9036
무관	0	weighted	w2v	39.8844
협정	0	weighted	w2v	39.9133
낙마	0	weighted	w2v	39.8941
오프라인	0	weighted	w2v	39.8749
구현	1	weighted	w2v	39.8558
호가	0	weighted	w2v	39.8366
레코드	0	weighted	w2v	39.8175
청사	0	weighted	w2v	39.8464
합동	0	weighted	w2v	39.8273
추락	1	weighted	w2v	39.8082
철	1	weighted	w2v	39.837
대잠	0	weighted	w2v	39.8179
냉동	0	weighted	w2v	39.7989
토지	0	weighted	w2v	39.8277
겨냥	0	weighted	w2v	39.8086
힘	1	weighted	w2v	39.8374
유지	1	weighted	w2v	39.8662
사지	1	weighted	w2v	39.8949
목표	1	weighted	w2v	39.8758
연행	0	weighted	w2v	39.8568
적정	0	weighted	w2v	39.8378
양구	0	weighted	w2v	39.8188
고구려	0	weighted	w2v	39.8475
히잡	0	weighted	w2v	39.8285
전속	0	weighted	w2v	39.8095
발제	0	weighted	w2v	39.7906
그래픽	0	weighted	w2v	39.7716
아리랑	0	weighted	w2v	39.7527
수갑	0	weighted	w2v	39.7338
흡입	0	weighted	w2v	39.7625
선별	0	weighted	w2v	39.7436
재현	0	weighted	w2v	39.7247
참패	0	weighted	w2v	39.7059
아이디	0	weighted	w2v	39.6871
운명	1	weighted	w2v	39.6682
필수	1	weighted	w2v	39.6968
단합	0	weighted	w2v	39.678
안타	0	weighted	w2v	39.6593
한예종	0	weighted	w2v	39.6878
수작	0	weighted	w2v	39.669
의심	0	weighted	w2v	39.6503
남매	1	weighted	w2v	39.6316
논문	0	weighted	w2v	39.6601
골	1	weighted	w2v	39.6413
유종	0	weighted	w2v	39.6698
국격	0	weighted	w2v	39.6511
시련	0	weighted	w2v	39.6324
시일	1	weighted	w2v	39.6138
참여	1	weighted	w2v	39.6422
균형	0	weighted	w2v	39.6235
대검	0	weighted	w2v	39.6519
위용	0	weighted	w2v	39.6333
해발	0	weighted	w2v	39.6147
커넥션	0	weighted	w2v	39.5961
해안	0	weighted	w2v	39.5775
시름	0	weighted	w2v	39.6058
티셔츠	0	weighted	w2v	39.6341
관람	0	weighted	w2v	39.6156
특별	0	weighted	w2v	39.597
근대	0	weighted	w2v	39.6253
대인	0	weighted	w2v	39.6536
개량	0	weighted	w2v	39.635
뉴질랜드	0	weighted	w2v	39.6632
세공	0	weighted	w2v	39.6447
감면	1	weighted	w2v	39.6729
촬영	0	weighted	w2v	39.7011
천장	1	weighted	w2v	39.7292
극	0	weighted	w2v	39.7107
증명	1	weighted	w2v	39.7388
실전	0	weighted	w2v	39.7203
보카치오	0	weighted	w2v	39.7018
디도스	0	weighted	w2v	39.6833
도시	1	weighted	w2v	39.6648
교정	0	weighted	w2v	39.6463
약학	0	weighted	w2v	39.6279
이장	0	weighted	w2v	39.6095
혼잡	0	weighted	w2v	39.5911
전문	1	weighted	w2v	39.5727
수계	0	weighted	w2v	39.5543
재학	0	weighted	w2v	39.536
개헌	0	weighted	w2v	39.564
폰	0	weighted	w2v	39.5457
단어	0	weighted	w2v	39.5737
당론	0	weighted	w2v	39.6017
세후	0	weighted	w2v	39.6296
모기	0	weighted	w2v	39.6576
우량	0	weighted	w2v	39.6392
대체	0	weighted	w2v	39.6671
헌재	0	weighted	w2v	39.6488
냉정	0	weighted	w2v	39.6767
영합	0	weighted	w2v	39.6584
발	0	weighted	w2v	39.6862
국립	0	weighted	w2v	39.6679
간선	0	weighted	w2v	39.6957
주주	0	weighted	w2v	39.6774
김	1	weighted	w2v	39.7052
스트레칭	0	weighted	w2v	39.6869
별관	0	weighted	w2v	39.6687
카자흐스탄	0	weighted	w2v	39.6504
최	0	weighted	w2v	39.6322
링크	1	weighted	w2v	39.614
세련	0	weighted	w2v	39.5958
연시	0	weighted	w2v	39.5776
잠시	0	weighted	w2v	39.5594
창법	0	weighted	w2v	39.5413
방식	0	weighted	w2v	39.5232
멕시코	0	weighted	w2v	39.505
정규	0	weighted	w2v	39.4869
마스터스	0	weighted	w2v	39.4689
보훈	0	weighted	w2v	39.4966
정황	0	weighted	w2v	39.5242
견지	0	weighted	w2v	39.5519
낭비	0	weighted	w2v	39.5795
절단	0	weighted	w2v	39.5614
섹스	0	weighted	w2v	39.589
천명	0	weighted	w2v	39.571
티	1	weighted	w2v	39.5529
지위	0	weighted	w2v	39.5349
입주	1	weighted	w2v	39.5624
대국	1	weighted	w2v	39.59
유물	0	weighted	w2v	39.6175
만료	0	weighted	w2v	39.5995
소동	0	weighted	w2v	39.6269
주미	0	weighted	w2v	39.6089
건국	0	weighted	w2v	39.6364
대외	0	weighted	w2v	39.6184
암살	0	weighted	w2v	39.6004
갈증	0	weighted	w2v	39.6278
다윗	0	weighted	w2v	39.6098
탈취	0	weighted	w2v	39.5918
처남	0	weighted	w2v	39.5739
기만	0	weighted	w2v	39.556
시계	0	weighted	w2v	39.538
질의	0	weighted	w2v	39.5201
빌라	0	weighted	w2v	39.5023
감내	0	weighted	w2v	39.4844
비관	0	weighted	w2v	39.4665
서방	0	weighted	w2v	39.4939
발달	0	weighted	w2v	39.4761
노트	1	weighted	w2v	39.4582
비대	0	weighted	w2v	39.4404
캠페인	0	weighted	w2v	39.4226
언행	0	weighted	w2v	39.4049
시이오	0	weighted	w2v	39.4322
문병	0	weighted	w2v	39.4144
기혼	0	weighted	w2v	39.3967
직행	0	weighted	w2v	39.3789
오클랜드	0	weighted	w2v	39.3612
흥	0	weighted	w2v	39.3435
불찰	0	weighted	w2v	39.3258
교감	0	weighted	w2v	39.3531
물	1	weighted	w2v	39.3803
남해	0	weighted	w2v	39.3627
강세	1	weighted	w2v	39.3899
배치	1	weighted	w2v	39.417
전부	1	weighted	w2v	39.4442
타자	0	weighted	w2v	39.4713
허리케인	0	weighted	w2v	39.4984
한우	0	weighted	w2v	39.4808
나르시스	0	weighted	w2v	39.5078
조리	0	weighted	w2v	39.4902
국모	0	weighted	w2v	39.4725
정확	0	weighted	w2v	39.4549
체취	0	weighted	w2v	39.4372
바리스타	0	weighted	w2v	39.4196
충절	0	weighted	w2v	39.4467
환수	1	weighted	w2v	39.4291
이론	0	weighted	w2v	39.4115
초기	1	weighted	w2v	39.3939
단서	1	weighted	w2v	39.3764
보성	0	weighted	w2v	39.4034
거취	0	weighted	w2v	39.3858
강제	0	weighted	w2v	39.4128
전사	0	weighted	w2v	39.3953
여인	0	weighted	w2v	39.3778
자위	0	weighted	w2v	39.3603
보복	0	weighted	w2v	39.3872
영화	1	weighted	w2v	39.3697
점장	0	weighted	w2v	39.3966
시골	0	weighted	w2v	39.3792
용지	0	weighted	w2v	39.406
선언	1	weighted	w2v	39.4329
감정	1	weighted	w2v	39.4154
법정	1	weighted	w2v	39.4422
달	1	weighted	w2v	39.469
합판	0	weighted	w2v	39.4958
방역	1	weighted	w2v	39.5225
유적	0	weighted	w2v	39.5051
파워	0	weighted	w2v	39.4876
카메오	0	weighted	w2v	39.4702
좌우	1	weighted	w2v	39.4969
인식	1	weighted	w2v	39.5236
이별	0	weighted	w2v	39.5062
대망	0	weighted	w2v	39.4888
패망	0	weighted	w2v	39.4714
정원	1	weighted	w2v	39.454
인종	0	weighted	w2v	39.4366
성향	0	weighted	w2v	39.4193
재래	0	weighted	w2v	39.4459
동결	1	weighted	w2v	39.4725
마르세유	0	weighted	w2v	39.4991
산하	0	weighted	w2v	39.4818
보름	1	weighted	w2v	39.5083
공항	0	weighted	w2v	39.491
로이터	0	weighted	w2v	39.4737
귀	0	weighted	w2v	39.5002
복사	0	weighted	w2v	39.4829
주제	1	weighted	w2v	39.4656
로펌	0	weighted	w2v	39.4483
북측	0	weighted	w2v	39.4311
청약	0	weighted	w2v	39.4138
작	0	weighted	w2v	39.3966
모리타니	0	weighted	w2v	39.3794
소변	0	weighted	w2v	39.4059
직종	0	weighted	w2v	39.3886
약관	0	weighted	w2v	39.3715
동거	0	weighted	w2v	39.3979
밀양	0	weighted	w2v	39.3807
정장	0	weighted	w2v	39.3636
조회	0	weighted	w2v	39.3464
득표	0	weighted	w2v	39.3293
무사	0	weighted	w2v	39.3121
인대	0	weighted	w2v	39.295
이란	0	weighted	w2v	39.3214
혈액	0	weighted	w2v	39.3043
각색	0	weighted	w2v	39.2873
천적	0	weighted	w2v	39.3136
강등	0	weighted	w2v	39.2966
학력	0	weighted	w2v	39.3229
외관	0	weighted	w2v	39.3492
학정	0	weighted	w2v	39.3755
득점	0	weighted	w2v	39.4018
남단	0	weighted	w2v	39.4281
항공	0	weighted	w2v	39.4543
청구	1	weighted	w2v	39.4805
비밀	0	weighted	w2v	39.4634
쇼팽	0	weighted	w2v	39.4464
피고	0	weighted	w2v	39.4293
보이콧	0	weighted	w2v	39.4123
퇴로	0	weighted	w2v	39.3952
업계	0	weighted	w2v	39.3782
비난	0	weighted	w2v	39.3612
소실	0	weighted	w2v	39.3443
애송	0	weighted	w2v	39.3704
들	0	weighted	w2v	39.3534
겁	0	weighted	w2v	39.3796
성숙	1	weighted	w2v	39.4057
